군구,1시간 이상 3시간 미만,3시간 이상 5시간 미만,5시간 이상 7시간 미만,7시간 이상 9시간 미만,9시간 이상 12시간 미만,12시간 이상,50만원 미만,50만원 이상 - 100만원 미만,100만원 이상 - 200만원 미만,200만원 이상 - 300만원 미만,300만원 이상 - 400만원 미만,400만원 이상 - 500만원 미만,500만원 이상 - 600만원 미만,600만원 이상 - 700만원 미만,700만원 이상 - 800만원 미만,800만원 이상
중구,0.1,3.9,5.0,62.6,25.1,3.3,8.1,19.7,17.4,19.4,13.0,8.2,5.8,3.0,1.2,4.1
동구,3.5,7.9,8.2,51.2,18.1,11.1,15.0,22.0,20.5,17.7,9.9,6.3,4.5,2.2,0.2,1.6
미추홀구,0.0,2.0,5.2,77.4,13.1,2.3,10.7,13.7,13.4,19.4,16.1,9.8,7.2,4.9,3.1,1.6
연수구,2.3,3.1,3.5,66.9,22.2,2.0,10.1,9.5,9.5,11.6,16.3,11.4,9.5,5.3,3.2,13.6
남동구,0.2,3.0,5.4,75.3,13.7,2.3,3.5,17.2,18.5,22.6,15.8,8.2,6.0,3.1,2.3,3.0
부평구,1.2,5.1,4.7,57.2,25.8,6.0,10.3,11.1,17.3,16.1,18.5,10.1,8.1,3.1,2.0,3.3
계양구,0.4,3.2,5.2,45.4,43.9,1.9,4.2,9.1,10.4,18.6,19.8,15.8,13.3,4.7,1.9,2.1
서구,1.9,4.8,5.0,63.6,20.8,3.9,5.2,10.9,14.6,23.3,17.5,11.8,7.2,4.6,2.5,2.4
강화군,5.0,8.6,6.0,63.2,16.1,1.1,17.4,15.7,23.5,18.5,13.3,4.5,4.1,1.5,0.4,1.2
옹진군,1.3,13.5,13.9,47.4,16.5,7.4,11.1,34.3,18.6,13.8,13.0,5.3,1.3,0.2,0.3,2.1
